Code ISIN;Libellé du fonds;Société de gestion;Catégorie Morningstar;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %
FR0000003196;Ostrum SRI EURO Sovereign Bonds R (C) EUR;Natixis Investment Managers International;OBLIGATIONS D'ETAT EUR;3;0,70%;0,60%;1,30%
FR0000285629;CamGestion Convertibles Europe Classic;BNP PARIBAS ASSET MANAGEMENT Europe;CONVERTIBLES EUR;3;1,20%;0,60%;1,80%
FR0000286338;Amundi Oblig Monde Responsable P;Amundi Asset Management;OBLIGATIONS MONDE COUVERTES;2;0,96%;0,60%;1,56%
FR0000423378;LBPAM ISR Obli Europe C;LBP AM;OBLIGATIONS D'ENTREPRISE EUR;2;1,00%;0,60%;1,60%
FR0000971293;HSBC Euro Gvt Bond Fund HC;HSBC Global Asset Management (France);OBLIGATIONS D'ETAT EUR;3;0,60%;0,60%;1,20%
FR0000982217;Ostrum SRI Credit Euro E;Natixis Investment Managers International;OBLIGATIONS D'ENTREPRISE EUR;2;0,70%;0,60%;1,30%
FR0000983637;Amundi Multi-Gérants Obligs PC;Amundi Asset Management;OBLIGATIONS MONDE COUVERTES;2;1,04%;0,60%;1,64%
FR0007008750;R-co Conviction Credit Euro C EUR;Rothschild & Co Asset Management;OBLIGATIONS D'ENTREPRISE EUR;2;0,71%;0,60%;1,31%
FR0007394846;Arkéa Global Green Bonds P;Arkéa Asset Management;OBLIGATIONS MONDE;2;0,90%;0,60%;1,50%
FR0010028985;Mirova Obli Euro R (C);Natixis Investment Managers International;OBLIGATIONS D'ENTREPRISE EUR;2;0,60%;0,60%;1,20%
FR0010032326;Allianz Euro High Yield RC;Allianz Global Investors GmbH;OBLIGATIONS EURO HAUT RENDEMENT;3;0,96%;0,60%;1,56%
FR0010149120;Carmignac Sécurité AW EUR Acc;Carmignac Gestion;OBLIGATIONS D'ENTREPRISE EUR COURT TERME;2;1,00%;0,60%;1,60%
FR0010156604;Amundi Oblig Internationales EUR-P-C;Amundi Asset Management;OBLIGATIONS INTERNATIONALES FLEXIBLES;3;0,93%;0,60%;1,53%
FR0010491803;Echiquier Credit SRI Europe A;La Financière de l'Echiquier;OBLIGATIONS D'ENTREPRISE EUR;2;1,00%;0,60%;1,60%
FR0010515601;Confiance Solidaire C;Ecofi Investissements;OBLIGATIONS D'ENTREPRISE EUR COURT TERME;2;0,60%;0,60%;1,20%
FR0010560037;Schelcher Euro High Yield P;Arkéa Asset Management;OBLIGATIONS EURO HAUT RENDEMENT;2;1,40%;0,60%;2,00%
FR0010697482;R-co Conviction Credit 12M Euro C EUR;Rothschild & Co Asset Management;OBLIGATIONS D'ETAT EUR COURT TERME;2;0,50%;0,60%;1,10%
FR0010697532;Keren Corporate C;Keren Finance;OBLIGATIONS EURO FLEXIBLES;2;1,20%;0,60%;1,80%
FR0010707513;Schelcher Flexible Short Duration P;Arkéa Asset Management;OBLIGATIONS EURO FLEXIBLES;2;0,80%;0,60%;1,40%
FR0010807107;R Euro Credit F;Rothschild & Co Asset Management;OBLIGATIONS D'ENTREPRISE EUR;2;0,90%;0,60%;1,50%
FR0010868901;Ellipsis European Convertible Fund P EUR;Ellipsis Asset Management;CONVERTIBLES EUR;3;1,70%;0,60%;2,30%
FR0010951426;Anaxis Short Duration E1;Anaxis Asset Management;OBLIGATIONS D'ENTREPRISE EUR COURT TERME;2;1,25%;0,60%;1,85%
FR0010986315;DNCA Sérénité Plus C;DNCA Finance;OBLIGATIONS EURO FLEXIBLES;2;0,70%;0,60%;1,30%
FR0011034818;Schelcher Optimal Income P;Arkéa Asset Management;OBLIGATIONS D'ENTREPRISE EUR;2;1,20%;0,60%;1,80%
FR0011147594;Omnibond R;Flornoy Ferri;OBLIGATIONS EURO FLEXIBLES;2;1,00%;0,60%;1,60%
FR0011167402;Schelcher Convertible Global World P;Arkéa Asset Management;CONVERTIBLES INTERNATIONALES;3;1,40%;0,60%;2,00%
FR0011167410;Schelcher Convertible Mid Cap P;Arkéa Asset Management;CONVERTIBLES EUR;3;1,40%;0,60%;2,00%
FR0011288513;Sycomore Sélection Crédit R;Sycomore Asset Management;OBLIGATIONS D'ENTREPRISE EUR;2;1,20%;0,60%;1,80%
FR0011350685;Ostrum SRI Crossover L;Natixis Investment Managers International;OBLIGATIONS EURO FLEXIBLES;2;1,00%;0,60%;1,60%
FR0011445436;Candriam Patrimoine Obli-Inter C;Candriam;OBLIGATIONS INTERNATIONALES FLEXIBLES;2;2,00%;0,60%;2,60%
FR0012696102;Sunny Multi-Oblig R;Sunny Asset Management;OBLIGATIONS EURO FLEXIBLES;3;0,80%;0,60%;1,40%
FR0013202132;Sextant Bond Picking A;Amiral Gestion;OBLIGATIONS EURO HAUT RENDEMENT;2;1,30%;0,60%;1,90%
FR00140018M8;LBPAM ISR Convertibles Europe L;LBP AM;CONVERTIBLES EUR;3;1,20%;0,60%;1,80%
FR0014006PM4;R-co Conviction Credit SD Euro C EUR;Rothschild & Co Asset Management;OBLIGATIONS D'ENTREPRISE EUR COURT TERME;2;0,60%;0,60%;1,20%
FR00140081Y1;Carmignac Credit 2027 A EUR Acc;Carmignac Gestion;REVENUS FIXES EUR;2;0,90%;0,60%;1,50%
FR001400A1J2;Pluvalca Credit Opportunities 2028 A;Montpensier Arbevel;REVENUS FIXES EUR;3;1,40%;0,60%;2,00%
FR001400A6Y0;Sycoyield 2026 RC;Sycomore Asset Management;REVENUS FIXES EUR;2;1,00%;0,60%;1,60%
FR001400BJT8;IVO 2028 R;IVO Capital Partners;REVENUS FIXES EUR;3;1,30%;0,60%;1,90%
FR001400EZY8;Schelcher Global Yield 2028 P;Arkéa Asset Management;REVENUS FIXES EUR;3;1,30%;0,60%;1,90%
FR001400JNU1;Axiom 2027 RC EUR;Axiom Alternative Investments;REVENUS FIXES EUR;2;1,25%;0,60%;1,85%
FR001400K2B5;Tikehau 2029 R Acc EUR;Tikehau Investment Management;REVENUS FIXES EUR;2;1,10%;0,60%;1,70%
