Code ISIN;Catégorie Morningstar;Libellé du fonds;Société de gestion;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %;Page
LU1890809996;ALLOCATION D'ACTIFS EUR MODEREE;ABN AMRO Funds - NexGen Multi-Asset A EUR Capitalisation;ABN AMRO Investment Solutions;3;1,74;0,5;2,24;1
LU0235308482;ACTIONS EUROPE GDES CAP. MIXTE;Alken Fund - European Opportunities Class R;AFFM S.A;5;1,86;0,5;2,36;1
FR0010237503;ACTIONS EUROPE GDES CAP. MIXTE;Roche-Brune Europe Valeurs Responsables P;APICIL Asset Management;4;2,03;0,5;2,53;1
FR0010283838;ACTIONS EUROPE ZONE EURO;Roche-Brune Euro Valeurs Responsables P;APICIL Asset Management;4;1,77;0,5;2,27;1
LU0216734045;ACTIONS SECTEUR IMMOBILIER;AXA World Funds - Europe Real Estate A Capitalisation EUR;AXA Funds Management S.A.;5;1,76;0,5;2,26;1
LU1529780493;ACTIONS SECTEUR TECHNOLOGIES;AXA World Funds - Robotech A Distribution EUR;AXA Funds Management S.A.;5;1,75;0,5;2,25;1
LU0231459107;ACTIONS ASIE-PACIFIQUE HORS JAPON;abrdn SICAV I - Asian Smaller Companies Fund A Acc USD;Aberdeen Standard Investments Luxembourg S.A.;4;1,94;0,5;2,44;1
LU0231490524;ACTIONS MARCHÉS EMERGENTS ASIE;abrdn SICAV I - Indian Equity Fund A Acc USD;Aberdeen Standard Investments Luxembourg S.A.;4;1,92;0,5;2,42;1
LU0278937759;ACTIONS MARCHÉS EMERGENTS PETITES & MOY. CAP.;abrdn SICAV I - Emerging Markets Smaller Companies Fund A Acc USD;Aberdeen Standard Investments Luxembourg S.A.;4;1,95;0,5;2,45;1
FR0000975880;ACTIONS FRANCE;Allianz Actions Aéquitas R C/D;Allianz Global Investors GmbH;4;1,8;0,5;2,3;1
FR0000017329;ACTIONS EUROPE GDES CAP. MIXTE;Allianz Valeurs Durables RC;Allianz Global Investors GmbH;4;1,79;0,5;2,29;2
LU0256839274;ACTIONS EUROPE GDES CAP. CROISSANCE;Allianz Global Investors Fund - Allianz Europe Equity Growth AT EUR;Allianz Global Investors GmbH;5;1,85;0,5;2,35;2
LU0293315296;ACTIONS EUROPE PETITES & MOY. CAP.;Allianz Europe Small Cap Equity AT EUR;Allianz Global Investors GmbH;4;2,05;0,5;2,55;2
LU1143164405;ACTIONS JAPON;Allianz Global Investors Fund - Allianz Japan Equity AT (H-EUR);Allianz Global Investors GmbH;4;1,86;0,5;2,36;2
LU1548497772;THEMATIQUES INTELLIGENCE ARTIFICIELLE;Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT (H2-EUR);Allianz Global Investors GmbH;5;2,1;0,5;2,6;2
FR0010286005;ACTIONS EUROPE ZONE EURO;Sextant PEA A;Amiral Gestion;4;2,2;0,5;2,7;2
FR0010547869;ACTIONS FRANCE PETITES & MOY. CAP.;Sextant PME A;Amiral Gestion;4;2,2;0,5;2,7;2
FR0011050863;ACTIONS SECTEUR TECHNOLOGIES;Sextant Tech A;Amiral Gestion;4;1,03;0,5;1,53;2
FR001400CEG4;ACTIONS MONDE GDES CAP.;Sextant Quality Focus A;Amiral Gestion;4;0,25;0,5;0,75;2
FR0000979221;ACTIONS FRANCE;Valeur Intrinsèque P;Amplegest;4;2,25;0,5;2,75;2
FR0010375600;ACTIONS EUROPE GDES CAP. MIXTE;Amplegest Pricing Power AC;Amplegest;4;2,35;0,5;2,85;2
FR0010655712;ACTIONS EUROPE ZONE EURO;Amundi ETF Dax UCITS ETF DR;Amundi;4;17,94;0,5;18,44;2
FR0010930644;SECTEUR TRANSITION ENERGETIQUE;AMUNDI GLOBAL HYDROGEN UCITS ETF - Acc;Amundi;5;16,06;0,5;16,56;2
FR0007052782;ACTIONS FRANCE;Amundi CAC 40 UCITS ETF Dist;Amundi Asset Management;4;2,14;0,5;2,64;2
FR0007056841;ACTIONS ETATS-UNIS GDES CAP. MIXTE;Amundi Dow Jones Industrial Average UCITS ETF Dist;Amundi Asset Management;4;0,5;0,5;1;2
FR0010315770;ACTIONS MONDE GDES CAP.;Amundi MSCI World II UCITS ETF Dist;Amundi Asset Management;4;0,3;0,5;0,8;2
FR0010342592;ACTIONS ETATS-UNIS GDES CAP. MIXTE;Amundi Nasdaq-100 Daily (2x) Leveraged UCITS ETF Acc;Amundi Asset Management;6;0,6;0,5;1,1;3
FR0010468983;ACTIONS EUROPE ZONE EURO;Amundi EURO STOXX 50 Daily (2x) Leveraged UCITS ETF Acc;Amundi Asset Management;6;0,4;0,5;0,9;3
FR0010524777;SECTEUR TRANSITION ENERGETIQUE;Amundi MSCI New Energy UCITS ETF Dist;Amundi Asset Management;5;7,37;0,5;7,87;3
FR0010527275;THEMATIQUES WATER;Amundi MSCI Water UCITS ETF Dist;Amundi Asset Management;4;11,84;0,5;12,34;3
FR0010592014;ACTIONS FRANCE;Amundi CAC 40 Daily (2x) Leveraged UCITS ETF Acc;Amundi Asset Management;6;0,4;0,5;0,9;3
FR0013380607;ACTIONS FRANCE;Amundi CAC 40 UCITS ETF Acc;Amundi Asset Management;4;0,25;0,5;0,75;3
FR0014003N93;ACTIONS MONDE GDES CAP.;Amundi MSCI World Swap II UCITS ETF EUR Hedged Acc;Amundi Asset Management;4;0,3;0,5;0,8;3
LU0496786574;ACTIONS ETATS-UNIS GDES CAP. MIXTE;Amundi S&P 500 II UCITS ETF EUR Dist;Amundi Asset Management;4;32,52;0,5;33,02;3
LU0533032859;ACTIONS SECTEUR FINANCIER;Amundi MSCI World Financials UCITS ETF EUR Acc;Amundi Asset Management;4;33,82;0,5;34,32;3
LU0533033238;ACTIONS SECTEUR SANTE;Amundi MSCI World Health Care UCITS ETF EUR Acc;Amundi Asset Management;4;7,32;0,5;7,82;3
LU0533033667;ACTIONS SECTEUR TECHNOLOGIES;Amundi MSCI World Information Technology UCITS ETF EUR Acc;Amundi Asset Management;5;0,3;0,5;0,8;3
LU0959211326;ACTIONS ETATS-UNIS GDES CAP. MIXTE;Amundi Core S&P 500 Swap UCITS ETF EUR Hedged Acc;Amundi Asset Management;4;0,07;0,5;0,57;3
LU1650492330;ACTIONS ROYAUME-UNI;Amundi FTSE 100 UCITS ETF EUR Hedged Acc;Amundi Asset Management;4;0,3;0,5;0,8;3
LU1829221024;ACTIONS ETATS-UNIS GDES CAP. CROISSANCE;Amundi Nasdaq-100 II UCITS ETF Acc;Amundi Asset Management;5;35,62;0,5;36,12;3
LU1834986900;ACTIONS SECTEUR SANTE;Amundi STOXX Europe 600 Healthcare UCITS ETF Acc;Amundi Asset Management;4;5,03;0,5;5,53;3
LU1834987890;ACTIONS SECTEUR BIENS INDUSTRIELS;Amundi STOXX Europe 600 Industrials UCITS ETF Acc;Amundi Asset Management;4;15,73;0,5;16,23;4
LU1834988278;ACTIONS SECTEUR ENERGIE;Amundi STOXX Europe 600 Energy Screened UCITS ETF Acc;Amundi Asset Management;5;1,88;0,5;2,38;4
